token	label	director	company
['Ms.', 'Gorelick', 's', 'individual', 'qualifications', 'and', 'skills', 'as', 'a', 'director', 'include', 'her', 'experience', 'as', 'a', 'lawyer', ',', 'her', 'leadership', 'experience', 'in', 'senior', 'governmental', 'positions', ',', 'including', 'experience', 'with', 'regulatory', 'and', 'compliance', 'matters', ',', 'as', 'well', 'as', 'her', 'customer', 'experience', 'skills', 'and', 'skills', 'relating', 'to', 'public', 'policy', 'and', 'financial', 'statement', 'and', 'accounting', 'matters', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	3.0	AMAZON.COM INC
['Judith', 'A.', 'McGrath', ',', 'age', '66', ',', 'has', 'been', 'a', 'director', 'since', 'July', '2014', '.']	['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-DATE', 'I-DATE', 'O']	4.0	AMAZON.COM INC
['Ms.', 'McGrath', 'serves', 'as', 'a', 'senior', 'advisor', 'to', 'Astronauts', 'Wanted', '*', 'No', 'experience', 'necessary', ',', 'a', 'multimedia', 'joint', 'venture', 'that', 'Ms.', 'McGrath', 'formed', 'with', 'Sony', 'Music', 'Entertainment', ',', 'and', 'served', 'as', 'President', 'of', 'Astronauts', 'Wanted', 'from', 'June', '2013', 'to', 'March', 'of', '2018', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'B-TITLE', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	4.0	AMAZON.COM INC
['The', 'company', 'is', 'currently', 'a', 'subsidiary', 'of', 'Sony', 'Pictures', 'Television', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']	4.0	AMAZON.COM INC
['Ms.', 'McGrath', 'served', 'as', 'Chair', 'and', 'Chief', 'Executive', 'Officer', 'of', 'MTV', 'Networks', 'Entertainment', 'Group', 'worldwide', ',', 'a', 'division', 'of', 'Viacom', ',', 'Inc.', ',', 'including', 'Comedy', 'Central', 'and', 'Nickelodeon', ',', 'from', 'July', '2004', 'until', 'May', '2011', '.']	['O', 'B-PERSON', 'O', 'O', 'B-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	4.0	AMAZON.COM INC
['She', 'was', 'part', 'of', 'the', 'original', 'founder', 'and', 'launch', 'team', 'for', 'MTV', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']	4.0	AMAZON.COM INC
['Ms.', 'McGrath', 's', 'individual', 'qualifications', 'and', 'skills', 'as', 'a', 'director', 'include', 'her', 'leadership', 'and', 'multimedia', 'operations', 'experience', 'as', 'a', 'longtime', 'senior', 'executive', 'of', 'MTV', 'Networks', 'Entertainment', 'Group', ',', 'through', 'which', 'she', 'gained', 'experience', 'with', 'content', 'creation', ',', 'advertising', ',', 'and', 'content', 'distribution', ',', 'as', 'well', 'as', 'her', 'customer', 'experience', 'skills', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	4.0	AMAZON.COM INC
['Ms.', 'McGrath', 'further', 'honed', 'her', 'digital', 'and', 'entrepreneurial', 'experience', 'with', 'global', 'customers', 'in', 'her', 'role', 'at', 'Astronauts', 'Wanted', '*', 'No', 'experience', 'necessary', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']	4.0	AMAZON.COM INC
['Indra', 'K.', 'Nooyi', ',', 'age', '63', ',', 'has', 'been', 'a', 'director', 'since', 'February', '2019', '.']	['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-DATE', 'I-DATE', 'O']	5.0	AMAZON.COM INC
['Ms.', 'Nooyi', 'was', 'the', 'Chief', 'Executive', 'Officer', 'of', 'PepsiCo', ',', 'Inc.', ',', 'a', 'multinational', 'food', ',', 'snack', ',', 'and', 'beverage', 'company', ',', 'from', 'October', '2006', 'to', 'October', '2018', ',', 'where', 'she', 'also', 'served', 'as', 'the', 'Chairman', 'of', 'its', 'board', 'of', 'directors', 'from', 'May', '2007', 'to', 'February', '2019', '.']	['O', 'B-PERSON', 'O', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	5.0	AMAZON.COM INC
['She', 'was', 'elected', 'to', 'PepsiCo', 's', 'board', 'of', 'directors', 'and', 'became', 'its', 'President', 'and', 'Chief', 'Financial', 'Officer', 'in', '2001', ',', 'and', 'held', 'leadership', 'roles', 'in', 'finance', ',', 'corporate', 'strategy', 'and', 'development', ',', 'and', 'strategic', 'planning', 'after', 'joining', 'PepsiCo', 'in', '1994', '.']	['O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-DATE', 'O']	5.0	AMAZON.COM INC
['Ms.', 'Nooyi', 'has', 'served', 'as', 'a', 'director', 'of', 'Schlumberger', 'Limited', 'since', 'April', '2015', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'O']	5.0	AMAZON.COM INC
['Ms.', 'Nooyi', 's', 'individual', 'qualifications', 'and', 'skills', 'as', 'a', 'director', 'include', 'her', 'leadership', 'experience', 'as', 'a', 'longtime', 'senior', 'executive', 'at', 'a', 'large', 'corporation', 'with', 'international', 'operations', ',', 'through', 'which', 'she', 'gained', 'experience', 'with', 'consumer-focused', 'product', 'development', ',', 'international', 'operations', ',', 'and', 'marketing', 'issues', ',', 'as', 'well', 'as', 'her', 'customer', 'experience', 'skills', 'and', 'skills', 'relating', 'to', 'financial', 'statement', 'and', 'accounting', 'matters', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'I-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	5.0	AMAZON.COM INC
['Jonathan', 'J.', 'Rubinstein', ',', 'age', '62', ',', 'has', 'been', 'a', 'director', 'since', 'December', '2010', '.']	['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-DATE', 'I-DATE', 'O']	6.0	AMAZON.COM INC
['Mr.', 'Rubinstein', 'was', 'co-CEO', 'of', 'Bridgewater', 'Associates', ',', 'LP', ',', 'a', 'global', 'investment', 'management', 'firm', ',', 'from', 'May', '2016', 'to', 'April', '2017', '.']	['O', 'B-PERSON', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	6.0	AMAZON.COM INC
['Previously', ',', 'Mr.', 'Rubinstein', 'was', 'Senior', 'Vice', 'President', ',', 'Product', 'Innovation', ',', 'for', 'the', 'Personal', 'Systems', 'Group', 'at', 'the', 'Hewlett-Packard', 'Company', '(', '“', 'HP', '”', ')', ',', 'a', 'multinational', 'information', 'technology', 'company', ',', 'from', 'July', '2011', 'to', 'January', '2012', ',', 'and', 'served', 'as', 'Senior', 'Vice', 'President', 'and', 'General', 'Manager', ',', 'Palm', 'Global', 'Business', 'Unit', ',', 'at', 'HP', 'from', 'July', '2010', 'to', 'July', '2011', '.']	['O', 'O', 'O', 'B-PERSON', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	6.0	AMAZON.COM INC
['Mr.', 'Rubinstein', 'was', 'Chief', 'Executive', 'Officer', 'and', 'President', 'of', 'Palm', ',', 'Inc.', ',', 'a', 'smartphone', 'manufacturer', ',', 'from', 'June', '2009', 'until', 'its', 'acquisition', 'by', 'HP', 'in', 'July', '2010', ',', 'and', 'Chairman', 'of', 'the', 'Board', 'of', 'Palm', ',', 'Inc.', 'from', 'October', '2007', 'through', 'the', 'acquisition', '.']	['O', 'B-PERSON', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'B-TITLE', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O']	6.0	AMAZON.COM INC
['Prior', 'to', 'joining', 'Palm', ',', 'Mr.', 'Rubinstein', 'was', 'a', 'Senior', 'Vice', 'President', 'at', 'Apple', 'Inc.', ',', 'also', 'serving', 'as', 'the', 'General', 'Manager', 'of', 'the', 'iPod', 'Division', '.']	['O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'I-TITLE', 'O', 'O', 'B-ORG', 'I-ORG', 'O']	6.0	AMAZON.COM INC
['Mr.', 'Rubinstein', 'served', 'as', 'a', 'director', 'of', 'Qualcomm', 'Incorporated', 'from', 'May', '2013', 'to', 'May', '2016', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	6.0	AMAZON.COM INC
['Mr.', 'Rubinstein', 's', 'individual', 'qualifications', 'and', 'skills', 'as', 'a', 'director', 'include', 'his', 'leadership', 'and', 'technology', 'experience', 'as', 'a', 'senior', 'executive', 'at', 'large', 'financial', 'and', 'technology', 'companies', ',', 'through', 'which', 'he', 'gained', 'experience', 'with', 'hardware', 'devices', 'and', 'emerging', 'technologies', ',', 'as', 'well', 'as', 'his', 'customer', 'experience', 'skills', 'and', 'skills', 'relating', 'to', 'financial', 'statement', 'and', 'accounting', 'matters', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'I-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	6.0	AMAZON.COM INC
['Thomas', 'O.', 'Ryder', ',', 'age', '74', ',', 'has', 'been', 'a', 'director', 'since', 'November', '2002', '.']	['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-DATE', 'I-DATE', 'O']	7.0	AMAZON.COM INC
['Mr.', 'Ryder', 'was', 'Chairman', 'of', 'the', 'Reader', 's', 'Digest', 'Association', ',', 'Inc.', 'from', 'April', '1998', 'to', 'December', '2006', ',', 'and', 'was', 'Chief', 'Executive', 'Officer', 'from', 'April', '1998', 'to', 'December', '2005', '.']	['O', 'B-PERSON', 'O', 'B-TITLE', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	7.0	AMAZON.COM INC
['From', '1984', 'to', '1998', ',', 'Mr.', 'Ryder', 'worked', 'in', 'several', 'roles', 'at', 'American', 'Express', ',', 'including', 'as', 'President', 'of', 'American', 'Express', 'Travel', 'Related', 'Services', 'International', '.']	['O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']	7.0	AMAZON.COM INC
['Mr.', 'Ryder', 'served', 'as', 'a', 'director', 'of', 'ILG', ',', 'Inc.', 'from', 'May', '2016', 'to', 'September', '2018', ',', 'a', 'director', 'of', 'RPX', 'Corporation', 'from', 'December', '2009', 'to', 'June', '2017', ',', 'a', 'director', 'of', 'Quad/Graphics', ',', 'Inc.', 'from', 'July', '2010', 'to', 'May', '2017', ',', 'a', 'director', 'of', 'Starwood', 'Hotels', '&', 'Resorts', 'Worldwide', ',', 'Inc.', 'from', 'April', '2001', 'to', 'September', '2016', ',', 'and', 'Chairman', 'of', 'the', 'Board', 'of', 'Directors', 'at', 'Virgin', 'Mobile', 'USA', ',', 'Inc.', 'from', 'October', '2007', 'to', 'November', '2009', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'B-TITLE', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	7.0	AMAZON.COM INC
['Mr.', 'Ryder', 's', 'individual', 'qualifications', 'and', 'skills', 'as', 'a', 'director', 'include', 'his', 'leadership', 'experience', 'as', 'a', 'senior', 'executive', 'of', 'Reader', 's', 'Digest', ',', 'a', 'large', 'media', 'and', 'publishing', 'company', ',', 'and', 'American', 'Express', ',', 'a', 'large', 'financial', 'services', 'company', ',', 'through', 'which', 'he', 'gained', 'experience', 'with', 'intellectual', 'property', ',', 'media', ',', 'enterprise', 'sales', ',', 'payments', ',', 'and', 'international', 'operations', ',', 'as', 'well', 'as', 'his', 'customer', 'experience', 'skills', 'and', 'skills', 'relating', 'to', 'financial', 'statement', 'and', 'accounting', 'matters', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	7.0	AMAZON.COM INC
['Patricia', 'Q.', 'Stonesifer', ',', 'age', '62', ',', 'has', 'been', 'a', 'director', 'since', 'February', '1997', '.']	['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-DATE', 'I-DATE', 'O']	8.0	AMAZON.COM INC
['Ms.', 'Stonesifer', 'served', 'as', 'the', 'President', 'and', 'CEO', 'of', 'Martha', 's', 'Table', ',', 'a', 'non-profit', ',', 'from', 'April', '2013', 'to', 'March', '2019', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'B-DATE', 'I-DATE', 'O']	8.0	AMAZON.COM INC
['She', 'served', 'as', 'Chair', 'of', 'the', 'Board', 'of', 'Regents', 'of', 'the', 'Smithsonian', 'Institution', 'from', 'January', '2009', 'to', 'January', '2012', 'and', 'as', 'Vice', 'Chair', 'from', 'January', '2012', 'to', 'January', '2013', '.']	['O', 'O', 'O', 'B-TITLE', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'B-TITLE', 'I-TITLE', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	8.0	AMAZON.COM INC
['From', 'September', '2008', 'to', 'January', '2012', ',', 'she', 'served', 'as', 'senior', 'advisor', 'to', 'the', 'Bill', 'and', 'Melinda', 'Gates', 'Foundation', ',', 'a', 'private', 'philanthropic', 'organization', ',', 'where', 'she', 'was', 'Chief', 'Executive', 'Officer', 'from', 'January', '2006', 'to', 'September', '2008', 'and', 'President', 'and', 'Co-chair', 'from', 'June', '1997', 'to', 'January', '2006', '.']	['O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-TITLE', 'I-TITLE', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'B-PERSON', 'O', 'B-PERSON', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	8.0	AMAZON.COM INC
